text,character
Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.,Ted
how does Carl land a Lebanese girl?,Barney
It's always been don't even think about it till you're thirty,Ted
Exactly-the guy doesn't even own a suit!,Barney
"Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, Okay, I'm ready! Where is she? ",Ted
and there she was.,Narrator
"It was like something from an old movie. Where the sailor sees the girl across the crowded dance floor, turns to his buddy and says, see that girl? I'm going to marry her someday",Narrator
"Hey Barney, see that girl?",Ted
"Hey, have you met Ted?",Barney
"Let me guess,  Ted?",Robin
"I'm sorry, Lily. I'm so sorry. Take us to the hospital.",Marshall
"Whoa, whoa, whoa-did you hit her?",Cabdriver
"Hit me? Please, this guy could barely even spank me in bed for fun. He's all like,  Oh, did that hurt? and I'm like, Come on, let me have it you pansy!  Wow, complete stranger.",Lily
"no, no, no, no-it's okay, go on.  So these, spankin's...you in pajamas or going naturelle",Cabdriver
So what do you do?,Ted
I'm a reporter for Metro News 1.,Robin
Oh.,Ted
"Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon.",Robin
"Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty.  Oh, your friends don't seem too happy.",Ted
"Yeah, see the one in the middle just got dumped by her boyfriend so tonight every guy is... The enemy.",Robin
You know if you don't make your friend feel better you could throw a drink at my face. I don't mind.,Ted
She would love that! It does look fun in the movies.,Robin
"Hey, you wanna have dinner with me Saturday night?",Ted
"Oh, I can't. I'm going to Orlando for a week on Friday. Some guys attempting to make a big  so my news is covering it.",Robin
That's going to take a week?,Ted
"Yeah, he's going to eat it too, it's another record.",Robin
"Uh, I know this is a long sh*t, but how about tomorrow night?",Ted
"Yeah,  What the hell  JERK!  that was fun.",Robin
De-wait for it-nied! Denied!,Barney
We're going out tomorrow night.,Ted
I thought we were playing laser tag tomorrow night?,Barney
"Yeah, I was never going to go play laser tag. ",Ted
"The next night, I took her out to this little bistro in Brooklyn.",Narrator
Wow that is one bad-ass blue French horn.,Robin
Yeah.,Ted
Mhmm.,Robin
Sort of looks like a... Smurf penis.,Ted
"Son, a piece of advice. When you go on a first date you really don't wanna say smurf penis. Girls don't ordinarily like that.",Narrator
But that was no ordinary girl.,Narrator
Lilly?,Marshall
How long have you been sitting there!? Stupid eye patch.,Lily
"Mom, dad, I have found the future Mrs. Ted Mosby! Marshall, how have I always described my perfect woman?",Ted
Oh let's see  she likes dogs?,Marshall
I've got five dogs.,Robin
...she drinks scotch?,Marshall
I love a scotch that's old enough to order its own scotch.,Robin
Can quote obscure lines from Ghostbusters?,Marshall
"Ray, when someone asks you if you're a god you say, Yes!",Robin
And I'm saving the best for last.,Ted
Do you want these?  I hate olives.,Robin
She hates olives! Awesome!,Marshall
The olive theory.,Lily
"The olive theory is based on my friends, Marshall and Lily. He hates olives, she loves them. In a weird way that's what makes them such a great couple. A Perfect balance .",Ted
"You know, I've had a jar of olives just sitting in my fridge forever.",Robin
I can take them off your hands.,Ted
they're all yours.,Robin
"Oh, it is on! It is on  till the break of dawn.",Marshall
"wait, it's only the break of ten-thirty. What happened?",Lily
"I've gotta get one of those blue French horns for over my fireplace. It's gotta be blue, it's gotta be French.",Robin
No Green Clarinet?,Ted
No.,Robin
"Come on, no purple tuba?",Ted
"It's a smurf penis, we're no dice.",Robin
"there you are! We've got a jumper! Some crazy guy on the Manhattan Bridge. Come on, you're covering it!",Producer
"Um, alright. I'll be right there.  I'm sorry. I had a really great time tonight.",Robin
Yeah.,Ted
So? Did you kiss her?,Marshall
"No. The moment wasn't right.  Look, this woman could be my future wife; I want our first kiss to be amazing.",Ted
"Aww, Ted that's so sweet. So you chickened out like the little bitch.",Lily
What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.,Ted
"Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him.",Lily
"Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I k*ll you Connor; don't make me get your mom!",Barney
"Hey, listen. I need your opinion on something.",Ted
"Okay, meet me at the bar in fifteen minutes-AND SUIT UP!",Barney
So these guys think I chickened out. What do you think?,Ted
I can't believe you're still not wearing a SUIT!,Barney
She didn't even give me the signal.,Ted
"What is she goanna-is she goanna bat her eyes at you in Morse code ?? Ted  Kiss me-No, you just kiss her!",Barney
Not if you don't get the signal.,Ted
Ee- Did Marshall give me the signal?,Barney
"No!  I didn't, I swear.",Marshall
"But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her.",Barney
"Urgh, I should've kissed her. What about when she gets back from Orlando?",Ted
A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words: you will never see that one again.,Barney
There she is...,Ted
"Ooo. She's cute!  Hey Carl, turn it up!",Lily
"...persuaded him to reconsider at which point the man came down off the ledge, giving this bizarre story a happy ending. Reporting from",Robin
"Huh, guy didn't jump",Marshall
"Metro One News, back to you bill.",Robin
I'm goanna go kiss her. Right now.,Ted
"Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you: that's freakin' crazy!",Marshall
"I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death.",Ted
"Actually, that is a perfect metaphor. By the way, did I congratulate you two? ",Barney
I'm doing this. ,Ted
Let's go ,Lily
Word up!,Marshall
We're coming with you.,Lily
...Barney?,Ted
"Alright, but under one condition.",Barney
"look at you, you beautiful bastard, you suited up! This is totally going in my blog!",Barney
Stop the car. Uh-pull over right here. I gotta do something.,Ted
"Excuse me, pardon me.  Enjoy your coffee. ",Ted
"Hey, HEY!",Waitor
"go, go, GO!  Everybody brings flowers.",Ted
Okay. Moment of truth. Wish me luck. ,Ted
Ted's goanna get it on with a TV reporter  This just in. Okay ,Barney
"Kiss her, Ted. Kiss her good.",Lily
Kiss the crap out of that girl,Marshall
"Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story. ",Ted
Why does he get to be the best man?  I'M YOUR BEST FRIEND!,Barney
"As I walked up to that door a million thoughts raced through my mind. Unfortunately, one particular thought did not.",Narrator
I've got five dogs.,Robin
"Not good, not good, not good, not good.",Ted
No!,Lily
Go back in there!,Marshall
You're wearing a suit!,Barney
Ted?,Robin
Hi!  I was just uh-,Ted
Come on up.,Robin
He's in.,Marshall
"So,  Ranjit... you must've done it with a Lebanese girl.",Barney
Okay-that's my Barney Limit.  I'm goanna see if that Bodega has a bathroom. ,Lily
"Actually, I'm from Bangladesh.",Ranjit
The women hot there?,Barney
Here's a picture of my wife! ,Ranjit
Simple no would have sufficed.  She's lovely.,Barney
"So, Ted. What brings you back to Brooklyn at one in the morning in a-suit.",Robin
I was just hoping to get those olives... that you said I could have.,Ted
Would you like those olives with some Gin and Vermouth?,Robin
Are you trying to get me drunk?,Ted
For starters ,Robin
Thank you.,Ted
"So, Marshall. This Olive Theory based on you and Lily?",Barney
Yeah...,Marshall
"You hate olives? Lily loves them, you can't stand them.",Barney
"Yeah, hate olives.",Marshall
"Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?",Barney
You have to swear that this does not leave this cab.,Marshall
I swear.,Barney
I swear.,Ranjit
"On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, Sure... I hate olives.",Marshall
But you like olives!,Barney
"Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.",Marshall
"Marshall, I'm going to get you an early wedding present. Don't get married.",Barney
I think I like your Olive Theory.,Robin
I think I like your French Horn.,Ted
I think I like your nose.,Robin
I think I'm in love with you.,Ted
What?,Robin
"Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it.",Barney
"Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women  doesn't scare me at all. I'm marrying that girl.  Lily. Lily, I like olives.",Marshall
We'll make it work. ,Lily
aww.,Ranjit
"So Orlando, you goanna hit Disney World?",Ted
You love me?,Robin
"Oh, god, I can't believe I said that. Why did I say that? Who says that? I should just go. ",Ted
Hold on.  Wait a minute.  Promised you these.,Robin
Olives. Thanks. I love you. What's wrong with me?,Ted
"Why are we still sitting here? Let's go! We can still make last call. What do you say Lil?  Yo, ho ho and a bottle o' rum?  'Cuz you're a pirate...",Barney
"Okay, eye patch gone- And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support.",Lily
It's been like twenty minutes. You think they're doin' it?,Marshall
You think they're doing it in front of the dogs?,Barney
Doggie style. ,Marshall
I had this girl in college; she had a golden retriever-,Barney
"Okay, we can go to the bar, just stop talking.",Lily
Hit it Ranjit. ,Barney
"So when you tell this story to your friends, could you avoid the word psycho? I prefer...eccentric.",Ted
"Good night, psycho . ",Robin
Great  Umm... how do I get to the F Train?,Ted
"Oh, um-two blocks  that way  and take a right.",Robin
"Thanks.  You know what? . I'm done being single. I'm not good at it. Look, obviously you can't tell a woman you just met you love her. But... it sucks that you can't. I'll tell you something though, if a woman-not you... just some hypothetical woman-were to bare with me through all this. I think I'd make a damn good husband. Because that's the stuff I'd be good at. Stuff like making her laugh and being a good father... and walking her five hypothetical dogs. Being a good kisser.",Ted
Everyone thinks they're a good kisser.,Robin
"Oh, I've got references.",Ted
"Good night, Ted. ",Robin
And I'm a good hand shaker,Ted
that's a pretty great hand shake. ,Robin
"And that was it, probably never see her again.  What?",Ted
That was the signal!,Marshall
That long lingering handshake-you should've kissed her!,Lily
There's no such thing as the signal. But yeah-that was the signal.,Barney
Signal ,Rangit
"Ah, Carl thank you. Something I gotta do.",Marshal
"By the way, you should've kissed her.",Carl
Carl!?  You guys weren't there.,Ted
I am so turned on right now.,Lily
"Guys, trust me. I've seen the signal. That was not the signal.",Ted
"Yeah Ted, we're not on you anymore.",Barney
To my fiancé!,Marshall
to the future!,Lily
To one hell of a night!,Ranjit
That was not the signal!,Ted
"I asked her about it years later, and yeah, that was the signal. I could've kissed her. But that's the funny thing about destiny.",Narrator
... it happens whether you plan it or not. I mean I...,Narrator
... never thought I'd see that girl again. But it...,Narrator
"...turns out, I was just too close...",Narrator
...to the puzzle to see the picture that was forming. Because that kids...,Narrator
"...is the true story, of how I met your Aunt Robin.",Narrator
Aunt Robin?,Son
I thought this was about how you met mom!,Daughter
Will you relax? I'm getting to it.  like I said:,Narrator
...it's a long story.,Narrator
"Okay, where was I?",Narrator
You were telling us how you met mom.,Daughter
In excruciating detail...,Son
"Right, so  back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, Maybe I should get married. Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in.",Narrator
"I suggest we play a little game I like to call, Have you Met Ted?",Barney
"No, no, no-we're not playing Have you Met Ted!",Ted
Hi! Have you met Ted? ,Barney
"So I asked her out, and I know this sounds crazy... but after just one date, I was in love with her, which made me say something stupid",Narrator
I think I'm in love with you.,Ted
What?,Robin
"Oh, Dad.",Daughter
So then what happened?,Son
"Nothing. I mean, I made a complete fool of myself. So... a week went by and I decided not to call her.",Narrator
"So you're not goanna call her? You went from, I think I'm in love with you to I'm not gonna call her?",Marshall
"I wasn't in love with her, okay? I was briefly in love with the abstract idea of getting married! That had absolutely nothing to do with Robin.  Robin!",Ted
Hey!,Robin
Look who I ran into!,Lily
Since when do you guys know each other?,Ted
"Uh... since about  here. Lily recognized me from the news and- Hello, Sailor!",Robin
They just got engaged.,Ted
"Well, I should get back to the station. See you guys.  Nice seeing you, Ted.",Robin
"Yeah, you too.  Damn it.",Ted
What?,Lily
I'm in love with her.,Ted
No! As your sponsor I will not let you relapse. You blew it; it's over-move on.,Barney
I don't know! I just have this feeling. She's the future Mrs. Ted Mosby.,Ted
"Lily, you squeaked?",Ted
"She said something about me didn't she? Come on, spill it, Red.",Ted
Fine!,Lily
So what do we think of Ted?,Lily
Ted's something else.,Robin
"Huh... I'm gonna spin that as good. Lots of guys are something, I'm something else.",Ted
Comes on a little strong.,Robin
But...that's part of my charm.,Ted
But that's part of his charm.,Lily
"Oh, totally. I mean, he's sweet, he's charming, he's just looking for something a little bit more serious than I am. I mean the most I can handle right now is something casual. This just stays between us, right?",Robin
Are you kidding? This flapper-for knocks.,Lily
Oops...,Lily
"She wants casual. Okay, I'll be casual. I'm gonna be a mushroom cloud of casual. You know why? Cause it's a game! I wanted to skip to the end and do the happily ever after thing but you don't get there unless you play the game.",Ted
So're you gonna ask her out?,Marshall
"Yeah-No! I can't ask her out, because if I ask her out I'm asking her out. So how do I ask her out, without asking her out? ",Ted
Did you guys get high?,Lily
I got it! I don't ask her out... I invite her to our party next Friday.,Ted
We're having a party next Friday?,Marshall
We are now-Casual,Ted
"Yeah, cuz nothing says Casual like inviting a hundred people over just to Mac on one girl. Oh, and Lily-that's my leg.",Barney
You waited five minutes to tell me that?,Lily
Alright-so call her up!,Marshall
No-calling's not casual! I just gotta bump into her somewhere. If only I knew her schedule I could arrange a chance encounter.,Ted
"that's great, Ted. You'll be the most Casual stalker ever.",Lily
"Now ever since Marshall put that ring on her finger, Lily had been...well... extra affectionate.",Narrator
"Baby, no. I have a twenty-five paged paper on unconstitutional law due on Monday, I barely started,",Marshall
"Hey, I'm just sitting here. Wearing my ring... my beautiful ring. Kind of makes wearing other stuff seem wrong. Like my shirt. Kind of don't wanna wear my shirt anymore. Or... my underwear. Oh-that's right-I'm not wearing any.",Lily
No underwear?,Marshall
Not slightly.,Lily
"Guys, boundaries! There she is!",Ted
"Thanks Bill, I'm reporting from the Razzle Dazzle Supermarket on 75th in Columbus",Robin
75th in Columbus.  Game on! ,Ted
"where four year old, Leroy Ellensburg, climbed inside a grab a prize machine  and gotten stuck.",Robin
"And on the pursuit of a stuffed purple giraffe.  From Metro News One, I'm Robin Scherbatsky. ",Robin
We're clear,Cameraman
Thanks.  Ted?,Robin
"Robin, wow! What are the odds?",Ted
What are you doing here?,Robin
"Oh, you know, just-uh-Shopping for-uh-dip  I love dip... I mean I don't love dip, I like dip. As a friend, you know. So-uh-hey, you-uh-reporting a news story or something? ",Ted
"Yeah, kid stuck in a crane machine, how sweet of you to call it news.",Robin
"Wow, kid in a crane machine  You just had to have that toy didn't ya? Couldn't play the game like everyone else.",Ted
You're all sweaty!,Leroy
"Cute kid  Um yeah it's f-it's so funny running into your we're having a party next Friday if-if you like swinging by! But, you know, whatever.",Ted
"Oh, I'm going back home next weekend. It's too bad it's not tonight.",Robin
"It is, it's tonight. This Friday, Did I say next Friday? Yeah-sorry-cuz I've been saying next Friday all week, but yeah it's tonight. The-uh-party's tonight. But, you know, whatever.",Ted
Hello?,Marshall
"hey, am I interrupting anything? ",Ted
"No, no I'm just writing my paper. Hitting the books.",Marshall
"Yeah, well you and Lily might wanna put some clothes on. We're throwing a party in two hours. Okay, bye ",Ted
"So, Gatsby, what are you goanna do when Robin shows up?",Marshall
"Okay, I got it all planned out.",Ted
"She steps through the door, and where's Ted? Not eagerly waiting by the door. Nah I'm across the room at my drafting table showing some foxy young thing all my cool architecture stuff. So Robin strolls over and I casually give her one of these, Hey, what's up? She says, Hey, nice place etcetera, etcetera. And then I say, Well make yourself at home, and I casually return to my conversation. Then, an hour later, Oh, you're still here? I say like I don't really care, but it's a nice surprise. And then very casually, Wanna see the roof?",Ted
Get her up to the roof and the roof takes care of the rest.,Ted
What's so special about the roof?,Barney
"Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof.",Lily
We do it up there sometimes.,Marshall
"Solid plan, my little friend.",Barney
We're the same height.,Ted
But may I suggest one little modification.,Barney
"That foxy young thing you were chatting up, take her up to the roof and have sex with her! Crazy monkey-style.",Barney
That's not the plan.,Ted
"Should be the plan, I mean look at her. Ted, look at her. She's smokin'!",Barney
"Yeah, but she's not Robin.",Ted
"Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?",Barney
"Barney, I don't wanna say-",Ted
"Aargh!  Scoping, beep, scoping, beep!",Barney
Man you're a dork.,Lily
"beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call Have You Met Ted?",Barney
"No, come on not this.",Ted
Hi! Have you met Ted?,Barney
No.,Tatiana
Hi.,Ted
Hi.,Tatiana
Do you know Marshall? Lily?,Barney
No. ,Tatiana
"Hmm, do you know anyone at this party?",Barney
I work with Carlos.,Tatiana
"Excuse me,  Anyone know a Carlos?",Barney
No.,Ted
No.,Lily
On a silver platter! Bon appetite!,Barney
I don't think so.,Ted
"Your loss, her gain.  Excuse me, can I show you the roof? It's magical up there!",Barney
Sure ,Tatiana
Whoa-whoa-Hey hey. I got that roof reserved!,Ted
"Dude, Robin's not coming.",Barney
"Hey, she's goanna show up.  She'll show up.",Ted
She didn't show up.,Narrator
At least it was a great party.,Lily
I ate like four whole cans of dip!,Marshall
You always know what to say old friend.,Ted
It's Robin.,Ted
Answer it!,Lily
"No, no, no. Not right away. I gotta seem casual.  Hello?",Ted
I'm so sorry I missed your party.,Robin
Who is this? Merideth?,Ted
Robin.,Robin
"Oh, Robin! Hey, yeah, guess you never showed up did you?",Ted
"no I got stuck at work, but they finally got that kid out of the crane machine.",Robin
Did he get to keep the purple giraffe?,Ted
"Yeah, they let him keep all the toys. He was in there a long time and little kids have smaller bladders.",Robin
nan,Ted
I wish your party was tonight.,Robin
"It is the party's tonight.  Yeah-uh-it's a two day party. Because that's just how we roll. Uh-so if you wanna swing by its-uh-you know, Casual. See ya.  So that was Robin.",Ted
"What are you doing to me, man. I got a paper to write.",Marshall
I know I'm sorry. It's terrible  I'll buy more dip ,Ted
"TED! TED WAIT-GET FRENCH ONION.  Can you believe this guy, I got a paper to write.  Okay, fine- but it's gotta be like super quick.",Marshall
Oh!,Lily
And no cuddling after.,Marshall
I'm the luckiest girl alive ,Lily
"Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?",Barney
I have no idea who that is.,Ted
"She said she works with Carlos, who's Carlos?",Barney
I don't know any Carlos.,Ted
"Grr.  Hi, you. You're back.",Barney
"I sure am . Come on, sweetie, I need a drink.",Tatiana
sweetie? Really?  Sweetie?,Barney
"Whoa-Whoa rabbits! Come on, I got that roof reserved.",Ted
Alright.,Marshall
"So, it's over between me-and-works with Carlos girl.",Barney
"Oh, that was fast.",Ted
"Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?",Barney
I think I'm in love with you.,Barney
What?,Tatiana
"Thanks, bro ",Barney
Glad I could help.,Ted
"What the-no, no, no, no-come on!",Ted
"Sorry, Ted. ",Marshall
Great! What am I going to do when Robin shows up.  She'll show up.,Ted
She didn't show up.,Narrator
"Alright, we threw two parties. Everybody had fun. Everybody wanged, everybody chunged. Now the kid has got to get to work, and the kid is not to be disturbed. Repeat after me, I will not have sex with Marshall.",Marshall
It's Robin.  Hello?,Ted
"Hi, Ted.",Robin
"Amanda? Oh, Denise-Sorry you totally sounded like Amanda ",Ted
It's Robin.,Robin
"Oh, Robin--Hi.",Ted
I totally wanted to come; I got stuck at work again. I feel like I live there. I'm sorry I missed your party...again.,Robin
"Hey, ain't no thing but a chicken wing mamacita.  WHO AM I?",Ted
I guess there's no change your two-dayer turned into a three-dayer.,Robin
"It did indeed, the party continues tonight.  Yeah. Last night people were like, KEEP IT GOIN' BRO! PARTY TRIFECTA!",Ted
"Wow, okay-well I'll be there.",Robin
"Great, see you tonight.  So that was Robin.",Ted
So I threw a third party for Robin. On a Sunday night ,Narrator
"Oh, this is lame.",Barney
lame or Casual?,Ted
lame.,Barney
Or Casual?,Ted
Hey little old books. Ready for a little fifteen minute recess?,Lily
"Sorry, baby, I gotta work. I need all my bl*od  up here. Has anybody seen an introduction to contract work institution statutes from 1865 to 1923?  Anybody seen a big-ass book?",Marshall
"No, no.",Crowd
"Hello, Barney.",Tatiana
Of course.,Barney
You look well. Isn't it weird they invited both of us?,Tatiana
Who? Who invited you? No one even know who you are!,Barney
"I understand you're hurt, but, you don't have to be cruel. Carlos was right about you.",Tatiana
Who is Carlos!?,Barney
"Okay, where the hell is my-OHH!  Okay, introduction to contract work institution statutes from 1865 to 1923...is not a coaster! Ted! I'm jeopardizing my law career so that you can throw not one, not two, but three parties for some girl that you just met who's probably not gonna show up.  I mean where is she, Ted, huh? Where's Robin?  Hi! Hi Robin. ",Marshall
so you threw all these parties for me?,Robin
"No! Oh you thought that-oh, no! I c-okay yes. You got me-I--one of the reasons I threw these parties was so that I could introduce you to uh- this guy. I figured, you know, since it didn't work out between us and now we can just laugh about it -Anyway Robin, this is.",Ted
Carlos ,Carlos
"She's still talking to Carlos. I can still win this, it's not over.",Ted
"Okay, buddy, time for the tough-talk. Robin seems great. But let's look at the facts, you wanna get married and right now there's a million women in New York looking for exactly you, but Robin ain't one of them.",Lily
She's not just one of them she's the one.,Ted
"Yeah well, the one is heading up to the roof. ",Barney
What are you gonna do?,Marshall
"Nothing. It's a game, I gotta just-keep playing it.",Ted
Hey.,Robin
"Hey. Carlos, can you give us a minute?",Ted
"Hey, no sweat hombre.",Carlos
"Robin, look I didn't invite you to this party to set you up with Carlos. Or the one before that. Or the one before that.  I threw these parties because I wanted to see you.",Ted
"Well, here I am.",Robin
"There's something here, look, unless I'm crazy.",Ted
"you're not crazy. I-I don't know, Ted, I mean we barely know each other and you're looking at me with that look and it's like-",Robin
Like what?,Ted
"like-let's fall in love, and get married and have kids and drive them to soccer practice.",Robin
I'm not gonna force sports on them unless they're interested.,Ted
It's a great look. But you're looking at the wrong girl.,Robin
"No, I'm not.",Ted
"Yes, you are. I don't wanna get married right now, maybe ever and if we got together I'd feel like I'd either have to marry you or break your heart and-I just couldn't do either of those things. Just like you can't turn off the way you feel.",Robin
Click. Off. Let's make out.,Ted
What?,Robin
"What? That was the off switch! And I turned it off. I mean sure yes, I wanna fall in love get married blah, blah, blah, but-on the other hand... you... me...the roof.",Ted
There's no off switch.,Robin
There is an off switch... and it's off.,Ted
"no, it's not.",Robin
"yes, it is. ",Ted
No ...it's-not.,Robin
"Yes-it is  No it's not. You're right, there's no off switch. God I wish there was an off switch.",Ted
me too.,Robin
So ,Ted
we could be friends ,Robin
Oh ,Ted
"look, I know it sounds insincere when people say that but... we could.",Robin
"I don't know, Robin. I made such a jackass out of myself here, every time we start hanging out it'll be like, Oh-that's right-I'm a jackass.",Ted
You're not a jackass. I'm sorry. I only moved here in April and I'm always working and-I just haven't met a lot of good people so far. But I understand.,Robin
"Well-uh-maybe in a few months after it's not so fresh, we could all-uh...you know, get a beer.",Ted
"yeah.  That sounds good. I'll see you, Ted. ",Robin
"Or, you know-now.  We could all get a beer now.",Ted
I'd like that.,Robin
"My friends are goanna love you-like you-you know, as a friend.  Jackass.",Ted
"Unbelievable. That is just a recipe for disaster, they work together ",Barney
You jealous?,Ted
"Oh, please, what does Carlos have that I don't?",Barney
a date tonight?,Robin
"Stop the tape, rewind-play it again.",Lily
a date tonight? ,Robin
I'm not sure I like her.,Barney
"Hey, don't you have a paper to write?",Ted
"Dude, you're talking to the kid.",Marshall
I know it.,Ted
"I'm goanna knock back this beer. I'm gonna knock back one more beer. I'm gonna go home, I'm gonna write a twenty-five page paper. I'm gonna hand it in and I'm gonna get a A. My name is Rufus, and that's the Trufus.",Marshall
"He got a B Minus. But still-twenty-five pages in one night, B minus? The kid was good.",Narrator
At least let me buy you a beer. Come on I'll buy everyone a beer.,Ted
"I'll help carry. You know something, Ted?",Robin
What?,Ted
